name,color,description,corresponding product label,action
dependencies,0366d6,Pull requests that update a dependency file,,new
Product: AMD Data Tracker,3D3D3D,,,new
Product: AMD Fulcrum,3D3D3D,,,new
Product: ATD Forms,3D3D3D,A collection of simple digital forms to support Austin Transportation operations,,new
Product: Banners,3D3D3D,Platform to manage street banner reservations and installations,,new
Product: Data & Performance Hub,3D3D3D,,,new
Product: Data Lake,3D3D3D,ATD data lake development with UT CTR,,new
Product: Dockless Dataviz,3D3D3D,,,new
Product: Dockless Licensing,3D3D3D,,,new
Product: Finance & Inventory,3D3D3D,,,new
Product: Micromobility,3D3D3D,,,new
Product: Mobile Signal Work Orders,3D3D3D,Mobile-first app for Signal Techs using React and Knack API,,new
Product: Mobility Project Editor,3D3D3D,,,new
Product: Mobility Services,3D3D3D,,,new
Product: Residential Parking Permit Digitization,3D3D3D,A web-based interface through which residents can easily apply for and renew their residential parking permits,,new
Product: ROW Portal,3D3D3D,,,new
Product: Service Requests,3D3D3D,,,new
Product: Signs & Markings,3D3D3D,,,new
Product: Signs Mobile Work Orders,3D3D3D,Mobile-first app for Street Signs Techs using React and Knack API,,new
Product: Transportation Development Services,3D3D3D,,,new
Product: Vision Zero Crash Data System,3D3D3D,Centralize the management of ATD's Vision Zero data,,new
Product: Vision Zero Editor,3D3D3D,,,new
Product: Vision Zero in Action,3D3D3D,,,new
Product: Vision Zero Viewer,3D3D3D,App for APD to log Vision Zero in Action enforcement activities,,new
Product: Visitor Log,3D3D3D,A sign-in application for ATD office visitors,,new
Project: Beacon Data Tracking,86B1C6,Associate school zone beacons and other beacons to work orders,,new
Project: Online Bike Map,86B1C6,Web-friendly version of Austin's Bike Map,,new
Project: Work Order Extension,86B1C6,"Create Work Orders workflows for MMC, Communications, and Signals Engineers",,new
Product: AMD Tracker,3D3D3D,Platform to manage Arterial Management Division's data and operations,Product: AMD Data Tracker,map
Product: DTS Portal,3D3D3D,,Product: Service Requests,map
Product: GIS,3D3D3D,,Service: Geo,map
Product: Mobility Project Explorer,3D3D3D,An online platform to visualize and explore Austin's mobility projects.,Product: Mobility Project Viewer,map
Product: MPD,3D3D3D,,Product: Mobility Project Database,map
Product: MPV,3D3D3D,,Product: Mobility Project Viewer,map
Product: RPP,3D3D3D,,Product: Residential Parking Permit Digitization,map
Product: VZA,3D3D3D,,Product: Vision Zero in Action,map
Product: VZA App,3D3D3D,App to manage Vision Zero in Action enforcement activities,Product: Vision Zero in Action,map
Product: VZE,3D3D3D,,Product: Vision Zero Editor,map
Product: VZV,3D3D3D,,Product: Vision Zero Viewer,map
Project: Data Lake,86B1C6,ATD data lake development with UT CTR,Product: Data Lake,map_append
Project: Development Review Workflow,86B1C6,Project serving Transportation Engineering,Product: Transportation Development Services,map_append
Project: Mobile Signal Work Order,86B1C6,Mobile-first app for Signal Techs using React and Knack API,Product: Mobile Signal Work Orders,map_append
Project: Mobility Project Database,86B1C6,,Product: Mobility Project Database,map_append
Project: Residential Parking Permits,86B1C6,"Online platform for residential parking permit applications, purchases, and renewals",Product: Residential Parking Permit Digitization,map_append
Project: Signs Mobile Work Orders,86B1C6,Mobile-first app for Street Signs Techs using React and Knack API,Product: Signs Mobile Work Orders,map_append
Project: TDSD Phase 2,86B1C6,,Product: Transportation Development Services,map_append
Project: Vision Zero Crash Data System,86B1C6,Centralize the management of ATD's Vision Zero data,Product: Vision Zero Crash Data System,map_append
Project: Vision Zero Viewer,86B1C6,Public-facing interactive dashboard which displays metrics related to Vision Zero Program.,Product: Vision Zero Viewer,map_append
Project: VZA App,86B1C6,App for APD to log Vision Zero in Action enforcement activities,Product: Vision Zero in Action,map_append
Project: VZA Citation App,86B1C6,,Product: Vision Zero in Action,map_append
Duplicate,5F7D8C,,,ok
Epic,3E4B9E,,,ok
Impact: 1-Severe,FF7261,Severely impacts ATD service delivery,,ok
Impact: 2-Major,FF9A8E,Causes a major interruption of ATD service delivery,,ok
Impact: 3-Minor,FFCDCA,Deteriorates ATD service delivery,,ok
Impact: 4-None,FFEEED,Does not affect ATD service delivery,,ok
Index,3E4B9E,"Contains a project's overview and status in addition to relevant assets, data, and information",,ok
Need: 1-Must Have,FF7261,No point in delivering a solution without this,,ok
Need: 2-Should Have,FF9A8E,"May be painful to leave out, but the solution is still viable",,ok
Need: 3-Could Have,FFCDCA,"Wanted, but affects fewer users or has less impact on business than other features",,ok
Need: 4-Won't Have,FFE9E9,Will not be delivered at this time,,ok
Product: AMANDA,3D3D3D,,,ok
Product: Dockless Mobility Operations,3D3D3D,Centralized tracking system Dockless Mobility Program,,ok
Product: Mobility Project Database,3D3D3D,"A comprehensive mobility project tracking platform for Austin, Texas.",,ok
Product: Mobility Project Viewer,3D3D3D,An online platform to visualize and explore Austin's mobility projects.,,ok
Product: RPP Back Office,3D3D3D,,,ok
Project: AGOL Audit,86B1C6,Clean-up of all ATD owned content on ArcGIS Online,,ok
Project: ATD AMANDA Backlog,86B1C6,Engagement with Unisys to develop all of ATD's backlog items.,,ok
Project: AULCC Utility Mapping,86B1C6,,,ok
Project: AWS Migration,86B1C6,Migration to ATD-owned AWS Org,,ok
